transaction_id,transaction_date,amount,transaction_type,merchant_name,category,account_type,location,currency,description
1,7/14/2022,7859.87,deposit,Twitternation,transportation,savings,Nawal,NPR,primis in faucibus orci luctus et ultrices posuere cubilia curae
2,7/1/2022,4386.72,transfer,Skinix,utilities,credit card,Zhangcaizhuang,CNY,lectus suspendisse potenti in eleifend quam a odio in hac habitasse platea dictumst maecenas
3,7/18/2022,6553.57,deposit,Kayveo,transportation,savings,Novyy,RUB,volutpat quam pede lobortis ligula sit amet eleifend pede libero
4,7/23/2022,4517.15,deposit,Vidoo,transportation,credit card,Lyasny,BYR,ipsum ac tellus semper interdum mauris ullamcorper purus sit amet nulla quisque arcu
5,7/2/2022,5536.79,deposit,Vipe,transportation,credit card,Birr,EUR,orci luctus et ultrices posuere cubilia curae nulla dapibus dolor vel est donec odio justo sollicitudin ut suscipit a feugiat
6,7/28/2022,9026.03,transfer,Bubblebox,groceries,credit card,Villa de Soto,ARS,condimentum neque sapien placerat ante nulla justo aliquam quis turpis
7,7/10/2022,5251.78,deposit,Gabtune,utilities,checking,Banyue,CNY,sed ante vivamus tortor duis mattis egestas metus aenean fermentum donec ut mauris eget massa tempor convallis nulla neque
8,7/27/2022,2442.26,deposit,InnoZ,entertainment,checking,Prapen,IDR,cum sociis natoque penatibus et magnis dis parturient montes nascetur ridiculus mus vivamus vestibulum sagittis sapien cum sociis natoque
9,7/8/2022,1944.5,transfer,Rhycero,groceries,savings,Pittsburgh,USD,ac enim in tempor turpis nec euismod scelerisque quam turpis adipiscing lorem vitae mattis nibh ligula nec sem duis aliquam
10,7/4/2022,7581.64,transfer,Topicblab,utilities,credit card,Longhua,CNY,tortor id nulla ultrices aliquet maecenas leo odio condimentum id luctus nec molestie sed justo pellentesque viverra pede ac
11,7/9/2022,3832.1,withdrawal,Edgewire,groceries,checking,Hưng Yên,VND,nibh in quis justo maecenas rhoncus aliquam lacus morbi quis tortor id nulla ultrices
